"Category","MediaType","RelativePath","Name","Extension","Bytes","ModifiedUtc","FullPath"
"backgrounds","image","Content/Map/Outposts/Art/ResearchBackgroundWalls.png","ResearchBackgroundWalls.png","png","1226419","2025-06-08T21:11:01.9860328Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Outposts\Art\ResearchBackgroundWalls.png"
"backgrounds","video","Content/SplashScreens/Ending.webm","Ending.webm","webm","10277607","2025-06-08T21:11:02.0035069Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\SplashScreens\Ending.webm"
"backgrounds","video","Content/SplashScreens/Original/Splash_Daedalic.mp4","Splash_Daedalic.mp4","mp4","26213993","2025-06-08T21:11:02.0035069Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\SplashScreens\Original\Splash_Daedalic.mp4"
"backgrounds","video","Content/SplashScreens/Original/Splash_FF.mp4","Splash_FF.mp4","mp4","6199617","2025-06-08T21:11:02.0035069Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\SplashScreens\Original\Splash_FF.mp4"
"backgrounds","video","Content/SplashScreens/Original/Splash_UTG.mp4","Splash_UTG.mp4","mp4","21301753","2025-06-08T21:11:02.0035069Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\SplashScreens\Original\Splash_UTG.mp4"
"backgrounds","video","Content/SplashScreens/Splash_Daedalic.webm","Splash_Daedalic.webm","webm","11254792","2025-06-08T21:11:02.0035069Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\SplashScreens\Splash_Daedalic.webm"
"backgrounds","video","Content/SplashScreens/Splash_FF.webm","Splash_FF.webm","webm","1043885","2025-06-08T21:11:02.0035069Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\SplashScreens\Splash_FF.webm"
"backgrounds","video","Content/SplashScreens/Splash_UTG.webm","Splash_UTG.webm","webm","3794773","2025-06-08T21:11:02.0035069Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\SplashScreens\Splash_UTG.webm"
"backgrounds","image","Content/Tutorials/BasicTutorialBanner.png","BasicTutorialBanner.png","png","630615","2025-06-08T21:11:02.0125068Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Tutorials\BasicTutorialBanner.png"
"backgrounds","image","Content/Tutorials/RolesTutorialBanner.png","RolesTutorialBanner.png","png","750988","2025-06-08T21:11:02.0125068Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Tutorials\RolesTutorialBanner.png"
"backgrounds","image","Content/UI/CommandUIBackground.png","CommandUIBackground.png","png","378020","2025-06-08T21:11:02.0135063Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\UI\CommandUIBackground.png"
"backgrounds","image","Content/UnstableBackground.png","UnstableBackground.png","png","764711","2025-06-08T21:11:02.0195055Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\UnstableBackground.png"
"creature-audio","audio","Content/Characters/Bonethresher/TIGERTRESHERb_attack1.ogg","TIGERTRESHERb_attack1.ogg","ogg","134154","2025-06-08T21:11:03.0408037Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Bonethresher\TIGERTRESHERb_attack1.ogg"
"creature-audio","audio","Content/Characters/Bonethresher/TIGERTRESHERb_attack2.ogg","TIGERTRESHERb_attack2.ogg","ogg","115320","2025-06-08T21:11:02.5158812Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Bonethresher\TIGERTRESHERb_attack2.ogg"
"creature-audio","audio","Content/Characters/Bonethresher/TIGERTRESHERb_damage1.ogg","TIGERTRESHERb_damage1.ogg","ogg","70131","2025-06-08T21:11:02.8137459Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Bonethresher\TIGERTRESHERb_damage1.ogg"
"creature-audio","audio","Content/Characters/Bonethresher/TIGERTRESHERb_damage2.ogg","TIGERTRESHERb_damage2.ogg","ogg","124624","2025-06-08T21:11:03.0418052Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Bonethresher\TIGERTRESHERb_damage2.ogg"
"creature-audio","audio","Content/Characters/Bonethresher/TIGERTRESHERb_death1.ogg","TIGERTRESHERb_death1.ogg","ogg","125857","2025-06-08T21:11:03.5339200Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Bonethresher\TIGERTRESHERb_death1.ogg"
"creature-audio","audio","Content/Characters/Bonethresher/TIGERTRESHERb_death2.ogg","TIGERTRESHERb_death2.ogg","ogg","111762","2025-06-08T21:11:02.7056702Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Bonethresher\TIGERTRESHERb_death2.ogg"
"creature-audio","audio","Content/Characters/Bonethresher/TIGERTRESHERb_idle1.ogg","TIGERTRESHERb_idle1.ogg","ogg","89412","2025-06-08T21:11:03.1689856Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Bonethresher\TIGERTRESHERb_idle1.ogg"
"creature-audio","audio","Content/Characters/Bonethresher/TIGERTRESHERb_idle2.ogg","TIGERTRESHERb_idle2.ogg","ogg","106096","2025-06-08T21:11:03.2277259Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Bonethresher\TIGERTRESHERb_idle2.ogg"
"creature-audio","audio","Content/Characters/Carrier/CARRIER_alarmLoop.ogg","CARRIER_alarmLoop.ogg","ogg","78923","2025-06-08T21:11:11.9404511Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Carrier\CARRIER_alarmLoop.ogg"
"creature-audio","audio","Content/Characters/Carrier/CARRIER_attack1.ogg","CARRIER_attack1.ogg","ogg","30182","2025-06-08T21:11:03.2344747Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Carrier\CARRIER_attack1.ogg"
